net,length_um
_145_,159.49
_141_,127.11
_093_,122.44
_091_,109.815
_143_,105.02
net2,103.26
_090_,81.66
net9,80.91
_094_,79.46
_097_,76.365
_017_,73.57
_099_,72.96
_111_,71.42
_101_,70.355
net5,67.16
net4,63
_114_,60.145
_103_,57.81
net7,55.31
net16,50.28
net15,50.06
net3,49.465
_018_,49.42
_150_,47.67
net6,43.72
net11,42.78
net14,42.72
net1,40.58
net8,38.35
net13,36.9
_038_,34.66
_043_,33.5
net10,33.44
_115_,31.75
_008_,27.86
_087_,27.24
net20,25.6
opcode[0],24.83
_148_,24.46
net25,24.02
_021_,23.5
net21,23.42
_015_,22.97
_079_,22.96
net18,22.68
_158_,22.63
_126_,22.56
net19,22.26
_029_,21.94
net17,21.71
net27,21.58
_030_,20.58
_071_,20.46
_010_,19.36
_129_,19.2
_107_,18.5
_004_,18.28
out[7],18.11
A[7],17.67
_042_,16.62
_121_,16.56
net12,15.64
_089_,15.52
_000_,14.58
_153_,14.5
_034_,14.34
_155_,14.1
_032_,14.08
opcode[2],13.91
_140_,13.85
_031_,13.78
_003_,13.68
_096_,13.68
_059_,13.64
_092_,13.6
_006_,13.12
_157_,13.02
_102_,13
B[0],12.87
_151_,12.76
_139_,12.64
_135_,12.5
A[6],12.21
B[1],12.11
_152_,11.7
_063_,11.62
_113_,11.54
_098_,11.34
_086_,11.26
_137_,11.2
_074_,11.1
_130_,10.96
_118_,10.74
_014_,9.94
_057_,9.94
_026_,9.68
_105_,9.68
_011_,9.6
_100_,9.58
_007_,9.44
opcode[1],9.37
_012_,9.36
_134_,9.28
out[0],9.15
_110_,9.04
_154_,8.96
_024_,8.34
_041_,8.24
_142_,7.98
_022_,7.9
_025_,7.66
_160_,7.56
_013_,7.22
net26,7.12
_056_,7.06
_156_,6.98
_052_,6.76
_023_,6.74
_002_,6.72
_005_,6.64
net22,6.28
_109_,6.26
_036_,6.2
_084_,6.2
_146_,6.2
_108_,6.14
A[4],6.09
B[4],6.09
A[0],5.97
B[6],5.97
_047_,5.84
_116_,5.8
out[4],5.75
out[6],5.75
net23,5.74
_117_,5.72
_122_,5.7
_001_,5.6
_104_,5.6
_125_,5.5
_073_,5.46
_044_,5.36
_062_,5.26
_127_,5.26
_009_,5.14
_132_,5.14
out[3],5.07
_128_,5.04
_054_,5.02
_039_,5.01
A[3],4.95
B[3],4.95
B[7],4.95
_106_,4.94
_123_,4.94
_159_,4.94
_078_,4.88
out[2],4.73
_136_,4.68
A[1],4.61
A[2],4.61
A[5],4.61
B[2],4.61
B[5],4.61
_067_,4.44
out[1],4.39
out[5],4.39
_066_,4.385
_083_,4.34
net24,4.34
_045_,4.14
_119_,4.1
_050_,4
_072_,4
_112_,4
_049_,3.88
_077_,3.56
_027_,3.54
_131_,3.54
_076_,3.52
_019_,3.44
_060_,3.44
_149_,3.44
_028_,3.42
_081_,3.18
_053_,3.1
_055_,3.08
_120_,3.08
_133_,2.98
_048_,2.96
_068_,2.96
_065_,2.84
_064_,2.74
_058_,2.62
_070_,2.62
_138_,2.5
_020_,2.18
_095_,2.18
_035_,2.16
_082_,2.16
_124_,2.16
_144_,2.16
_075_,2.06
_033_,2.04
_046_,2.02
_040_,1.72
_061_,1.48
_016_,1.26
_037_,1.26
_069_,1.26
_085_,1.26
_088_,1.14
_051_,0.8
_080_,0.46
_147_,0.46
